#   N           Simpson's               Milne                 GSL
#-----------------------------------
1429001 1.2891218612323e-15 1.1484903854615e-14 8.2035027532967e-15 
1433001 7.6175382709183e-15  9.492624614529e-15 8.2035027532967e-15 
1437001 5.6838554790698e-14 4.0900320870008e-14 8.2035027532967e-15 
1441001 5.1330488656342e-14 2.3438579295133e-14 8.2035027532967e-15 
1445001 2.4844894052841e-14 3.0470153083673e-15 8.2035027532967e-15 
1449001  3.164208204843e-14  1.675858419602e-14 8.2035027532967e-15 
1453001 4.1603478248862e-14 3.8204884251067e-14 8.2035027532967e-15 
1457001 5.0392945484537e-15 3.2345239427284e-14 8.2035027532967e-15 
1461001  2.109472136562e-14 9.9613962004317e-15 8.2035027532967e-15 
1465001 2.9766995704819e-14 4.6877158590267e-16 8.2035027532967e-15 
1469001 1.1250518061664e-14 3.9845584801727e-14 8.2035027532967e-15 
1473001 1.5703848127739e-14 9.6098175110047e-15 8.2035027532967e-15 
1477001  2.461050825989e-15 4.6877158590267e-15 8.2035027532967e-15 
1481001 2.6368401707025e-14 2.3321386398658e-14 8.2035027532967e-15 
1485001 1.9219635022009e-14 8.0159941189356e-14 8.2035027532967e-15 
1489001 1.7344548678399e-14  9.141045925102e-15 8.2035027532967e-15 
1493001 5.4260311068234e-14 5.9065219823736e-14 8.2035027532967e-15 
