#  N   trapezoid     Simpsons     3/8      Gauss  
#-----------------------------------------
3.126781e+00  -5.916735e+00  -5.773967e+00  -5.906478e+00  -5.906478e+00
3.128722e+00  -6.114175e+00  -6.190052e+00  -6.963499e+00  -6.526726e+00
3.130655e+00  -7.839390e+00  -6.571210e+00  -6.190052e+00  -6.692373e+00
3.132580e+00  -6.963499e+00  -6.313417e+00  -6.340092e+00  -6.759172e+00
3.134496e+00  -5.853896e+00  -6.032238e+00  -6.258624e+00  -6.190052e+00
3.136403e+00  -6.407105e+00  -6.963499e+00  -6.440455e+00  -6.114175e+00
3.138303e+00  -6.759172e+00  -6.407105e+00  -5.773967e+00  -7.097897e+00
3.140194e+00  -6.190052e+00  -7.839390e+00  -6.571210e+00  -6.759172e+00
3.142076e+00  -6.018904e+00  -7.097897e+00  -5.990230e+00  -6.440455e+00
3.143951e+00  -6.692373e+00  -7.839390e+00  -6.236397e+00  -6.963499e+00
3.145818e+00  -6.171001e+00  -6.032238e+00  -7.839390e+00  -6.236397e+00
3.147676e+00  -6.258624e+00  -6.063932e+00  -6.526726e+00  -7.839390e+00
3.149527e+00  -6.078749e+00  -6.063932e+00  -7.097897e+00  -6.407105e+00
3.151370e+00  -6.258624e+00  -6.526726e+00  -7.839390e+00  -6.692373e+00
3.153205e+00  -6.407105e+00  -6.130844e+00  -6.190052e+00  -6.692373e+00
3.155032e+00  -5.978108e+00  -6.114175e+00  -6.190052e+00  -5.990230e+00
3.156852e+00  -6.130844e+00  -6.190052e+00  -6.236397e+00  -6.114175e+00
3.158664e+00  -6.571210e+00  -5.817253e+00  -6.407105e+00  -6.571210e+00
3.160469e+00  -6.526726e+00  -5.978108e+00  -7.839390e+00  -7.097897e+00
3.162266e+00  -7.839390e+00  -6.114175e+00  -6.063932e+00  -6.018904e+00
3.164055e+00  -6.018904e+00  -6.258624e+00  -7.097897e+00  -6.236397e+00
3.165838e+00  -5.874656e+00  -7.839390e+00  -5.978108e+00  -6.236397e+00
3.167613e+00  -6.407105e+00  -6.340092e+00  -6.313417e+00  -6.407105e+00
3.169380e+00  -6.692373e+00  -5.940818e+00  -6.440455e+00  -6.190052e+00
3.171141e+00  -6.313417e+00  -6.063932e+00  -6.440455e+00  -5.916735e+00
3.172895e+00  -6.018904e+00  -6.407105e+00  -6.526726e+00  -5.940818e+00
3.174641e+00  -6.759172e+00  -7.097897e+00  -7.839390e+00  -6.236397e+00
3.176381e+00  -6.759172e+00  -6.258624e+00  -7.839390e+00  -6.114175e+00
