# m=1, k=39.4784, p=2
# x0=2, v0=5
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
2.3000  1.839610230535278e-01  -1.335128941222289e+01  8.912846448446750e+01  6.680075535311770e-01
2.3100  4.977051375239550e-02  -1.347913497519608e+01  9.084353983977705e+01  4.889607385404277e-02
2.3200  -8.546536892408500e-02  -1.356009142207507e+01  9.193803968751689e+01  1.441816809229968e-01
2.3300  -2.212697230684051e-01  -1.359257434087539e+01  9.237903860611203e+01  9.664373941701624e-01
2.3400  -3.571503759150146e-01  -1.357511810537414e+01  9.214191578742839e+01  2.517862236321840e+00
2.3500  -4.926011964739450e-01  -1.350640089517349e+01  9.121143257057167e+01  4.789836242421601e+00
2.3600  -6.271036596776466e-01  -1.338526991455743e+01  8.958272534277818e+01  7.762621513962881e+00
2.3700  -7.601286621004022e-01  -1.321076642292759e+01  8.726217474057549e+01  1.140522765675847e+01
2.3800  -8.911385854020542e-01  -1.298215018346361e+01  8.426811169300218e+01  1.567545798113914e+01
2.3900  -1.019589599707623e+00  -1.269892293630206e+01  8.063132187106929e+01  2.052015016922015e+01
2.4000  -1.144934195219874e+00  -1.236085050800483e+01  7.639531264062164e+01  2.587562174581668e+01
2.4100  -1.266623926531111e+00  -1.196798318034906e+01  7.161631070255896e+01  3.166832667341061e+01
2.4200  -1.384112350410763e+00  -1.152067395838544e+01  6.636296422771017e+01  3.781572480089127e+01
2.4300  -1.496858134352119e+00  -1.101959440007078e+01  6.071573037103560e+01  4.422736083078802e+01
2.4400  -1.604328309918089e+00  -1.046574769729179e+01  5.476593743168421e+01  5.080614405552843e+01
2.4500  -1.706001641981658e+00  -9.860478730395533e+00  4.861452039629135e+01  5.744981449719196e+01
2.4600  -1.801372082357697e+00  -9.205480854990967e+00  4.237043888580261e+01  6.405257543283935e+01
2.4700  -1.889952274109967e+00  -8.502799220286414e+00  3.614879729025163e+01  7.050686677767712e+01
2.4800  -1.971277071026248e+00  -7.754830462021810e+00  3.006869774735070e+01  7.670524861752718e+01
